text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
Ripple to the mooon!! Look at the numbers guys! 🔥🚀🔥🚀🎉 Best feeling to watch your money go UP like that! 💰💎 #ripple #xrp #crypto #cryptocurrency #bitcoin #btc #altcoins #verge #xvg #tron #trx #cardano #ada #ethereum #bitcoincash #stellar #iota #miota #qtum #nem #ico #xem https://t.co/JTGNc3XC44,en,"London, England",,,,CryptoInvest18,Fri Dec 29 10:05:03 +0000 2017,0,1,2,False,0,False,
What coin are we buying today guys? #crypto #cryptocurrency #verge #xvg #tron #trx #bitcoin #btc #qtum #ripple #xrp #ethereum #ether #tether #cardano #ada #bitcoincash #litecoin #ico #stellar #nem #xem #yoyo #ost #altcoins #iota #miota #dash #zcash #monero #eos #neo #lisk #icon,en,"London, England",,,,CryptoInvest18,Fri Dec 29 09:34:49 +0000 2017,0,1,0,False,0,False,
A well structured and put forward article.  A must read for any Cardano fan. @InputOutputHK #ADA https://t.co/mrSXEcsylS,en,"London, England",,,,mediatomcat,Fri Dec 29 09:29:41 +0000 2017,0,0,0,False,0,False,
XRP is catching up with Ethereum by market cap! $60B and all time highs! Safest investment and backed by Google! XRP the future coin of banks! #crypto #cryptocurrency #ripple #xrp #trx #tron #cardano #verge #xvg #bitcoin #btc #altcoins #banks #invest #money #iota #miota #ethereum https://t.co/lYQBPyX9Qv,en,"London, England",,,,CryptoInvest18,Fri Dec 29 08:19:05 +0000 2017,0,0,0,False,0,False,
Cardano Technical Analysis December 28th! https://t.co/Pyi4olCsh9 #Cardano  #ADA #Cyrptocurrency,en,vancouver,,,,engvancouver,Fri Dec 29 07:07:45 +0000 2017,0,0,0,False,0,False,
Verge continues its growth trough out the night! 40% UP in the last 24h! 🚀 Buy Buy Buy! #crypto #cryptocurrency #verge #xvg #tron #trx #cardano #ada #stellar #litecoin #bitcoin #btc #bitcoincash #ethereum #ether #tether #altcoins #usdt #fun #mana #ost #ico #sub #yoyo #powr #arn https://t.co/rpdoovRlEX,en,"London, England",,,,CryptoInvest18,Fri Dec 29 06:52:20 +0000 2017,0,0,2,False,0,False,
"Name: Charles Hoskinson 

@IOHK_Charles 

This man is next level. His mind is genius. 

His experience second to none

The @cardanocom is strong

The @Cardano_ is exceptional

Poised to make waves in 2018. 

Looking forward to a detailed interview with you Charles.

$ADA https://t.co/d2LotSOmuy",en,Australia,,,,Brad_Laurie,Fri Dec 29 06:40:02 +0000 2017,0,2,1,False,0,True,
"Put simply: Noam is the best writer in the Blockchain space: hands down

@noamlevenson:  There is a reason I reached out and connected, you are exceptional at what you do! 

This is a MUST read! 

$NEO $ADA $ETH 

@NEOnewstoday @ByteSizeCapital 

https://t.co/rPVto0a0r0 https://t.co/qmvmOvCm5Y",en,Australia,,,,Brad_Laurie,Fri Dec 29 06:28:06 +0000 2017,0,0,2,False,0,False,
BOOOM!!! XRB if you got it once i showed it to you yesterday you just made 40% profit! I love this coin! #crypto #cryptocurrency #xrb #railblocks #bitcoin #btc #verge #tron #trx #xvg #ripple #xrp #bitcoincash #ethereum #ether #iota #miota #tether #cardano #ada #ico #money https://t.co/haagWslH0A,en,"London, England",,,,CryptoInvest18,Fri Dec 29 05:30:05 +0000 2017,0,1,0,False,0,False,
Is bitcoin really worth $20000 ? #Ethereum #Cardano #Ripple: https://t.co/lAVinot2Nq via @YouTube,en,Islington,,,,IslingtonCars,Fri Dec 29 04:17:58 +0000 2017,0,0,0,False,0,False,
