,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,Unnamed: 14,text
321,en,"London, England",,,,CryptoInvest18,Sun Dec 24 08:13:52 +0000 2017,0,0,1,False,0,False,,merry christmas crypto world ! wish would find loads 100 % profits christmas tree ! profitable day everybody ! market ? time load ! https : //t.co/mvnh435cnd # crypto # cryptocurrency # bitcoin # altcoin # verge # tron # litecoin # cardano # bitcoincash
322,en,"Melbourne, Victoria",,,,CoinTradingNews,Sun Dec 24 05:41:03 +0000 2017,0,0,2,False,0,False,,# waves - ng network activated # kyber network - annual update # knc # request network - regular update # req # aragon - update focusing upcoming v0.5 # ant # eroscoin trading # livecoin # exchange # # cardano - regular update # https : //t.co/tt69eclhwi https : //t.co/lsnme6uylx
323,en,Gold Coast Australia,,,,grahamtutin,Sat Dec 23 23:46:25 +0000 2017,0,0,0,False,0,False,,added video @ youtube playlist https : //t.co/klmqtaubjs cardano | $ | blockchain reimagined
324,en,Gold Coast Australia,,,,grahamtutin,Sat Dec 23 23:27:04 +0000 2017,0,0,0,False,0,False,,added video @ youtube playlist https : //t.co/nmvhuodo8v cardano ( coin ) nutshell
325,en,"Birmingham, UK",,,,jamesbull_uk,Sat Dec 23 22:34:31 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/q9aok2kedz cardano overview simple explanation
326,en,"Nova Scotia, Canada",,,,insurance4m,Sat Dec 23 21:07:40 +0000 2017,0,0,0,False,0,False,,ethereum windows cardano apple .
327,en,"London, England",,,,CryptoInvest18,Sat Dec 23 20:52:58 +0000 2017,0,0,0,False,0,False,,greatest 24h altcoin ever ! 140 % ! 🔥🔥🚀💎verge future privacy cryptos ! must buy altcoin ! https : //t.co/mvnh435cnd # crypto # cryptocurrency # bitcoin # btc # btcusd # verge # xvg # tron # trx # cardano # # invest # money # portfolio # blockchain 🥂🥂💸🍾 https : //t.co/hflrd0ewlj
328,en,"Birmingham, UK",,,,jamesbull_uk,Sat Dec 23 20:05:46 +0000 2017,0,0,1,False,0,False,,cardano overview simple explanation : https : //t.co/q9aok2kedz via @ youtube
329,en,"Birmingham, UK",,,,jamesbull_uk,Sat Dec 23 19:08:05 +0000 2017,0,0,0,False,0,False,,cardano simple overview & amp ; explanation https : //t.co/ldnkfxvn3v via @ youtube
330,en,"Birmingham, UK",,,,jamesbull_uk,Sat Dec 23 19:08:02 +0000 2017,0,0,0,False,0,False,,cardano simple overview & amp ; explanation : https : //t.co/nbsptf47ud via @ youtube
331,en,Gotham City,,,,wayne8558,Sat Dec 23 16:28:01 +0000 2017,0,0,0,False,0,False,,"merry christmas ! hope 2018 's year crypto , specially altcoins ! # tothemoon # cardano # ripple"
332,en,Coin Headquarters,,,,coinbureau,Sat Dec 23 13:53:11 +0000 2017,0,0,1,False,0,False,,many crypto enthusiasts see # cardano credible threat # ethereum . biggest # rallies 2017. considered good # investment ? https : //t.co/yl6b90pv7t https : //t.co/xx4zkvjbqc
